Major,Department,Ratio
computer science,Computer Science,5.112116797809329
computer science,Mathematics,0.7022473184266056
computer science,Business Admin-Undergrad,0.5489670918062659
computer science,Economics,0.6682964886687294
computer science,Chemistry,0.13407484039730486
computer science,Psychology,0.7191349139862736
computer science,Sociology,0.23584032601229427
computer science,Physical Education,0.8511568724303102
computer science,History,0.5945330215196105
computer science,Physics,0.45203310268870334
computer science,Political Science,0.20397096133810613
computer science,"Env Sci, Policy, & Mgmt",0.5568610047836238
computer science,Statistics,1.5240321349576222
computer science,Molecular & Cell Biology,0.25368942311281184
computer science,English,0.22600585916887356
computer science,Music,1.4341330617880248
computer science,Anthropology,0.48025716528345475
computer science,Biology,0.0907258510603955
computer science,Integrative Biology,0.32299870736466396
computer science,Electrical Engineering,3.9933600573720582
computer science,Public Health,0.15049628109688643
computer science,Nutritional Science & Tox,0.7466641935439151
computer science,Philosophy,0.888239083626712
computer science,Mechanical Engineering,0.17722370129467555
computer science,Education,0.2348865599879799
economics,Computer Science,0.6822384639192958
economics,Mathematics,0.498534858264426
economics,Business Admin-Undergrad,2.7592411952548077
economics,Economics,9.088695380025184
economics,Chemistry,0.06370320093774812
economics,Psychology,0.6139630107888223
economics,Sociology,0.6016600476164753
economics,Physical Education,0.7466059832525493
economics,History,0.7024867862598286
economics,Physics,0.18031503074422964
economics,Political Science,0.5305990069168042
economics,"Env Sci, Policy, & Mgmt",0.5291645826615594
economics,Statistics,1.9734708305558109
economics,Molecular & Cell Biology,0.27120572032013296
economics,English,0.26093956762882065
economics,Music,1.2582440683703713
economics,Anthropology,0.21677611310687944
economics,Biology,0.0848663625812901
economics,Integrative Biology,0.09865729973338479
economics,Electrical Engineering,0.41950560961492117
economics,Public Health,0.8044374065652765
economics,Nutritional Science & Tox,0.5141068550443797
economics,Philosophy,0.4825676695159291
economics,Mechanical Engineering,0.17367196825234515
economics,Education,0.7353777292075403
electrical engineering computer science,Computer Science,5.272777660778335
electrical engineering computer science,Mathematics,0.8295078930127596
electrical engineering computer science,Business Admin-Undergrad,0.3105053669407261
electrical engineering computer science,Economics,0.19209844002482196
electrical engineering computer science,Chemistry,0.13131852943465835
electrical engineering computer science,Psychology,0.5569731588775847
electrical engineering computer science,Sociology,0.3081413951201883
electrical engineering computer science,Physical Education,0.5708750388877302
electrical engineering computer science,History,0.8346896248331893
electrical engineering computer science,Physics,1.1558363686278508
electrical engineering computer science,Political Science,0.10162606047286257
electrical engineering computer science,"Env Sci, Policy, & Mgmt",0.17389981451392655
electrical engineering computer science,Statistics,0.40311155868488824
electrical engineering computer science,Molecular & Cell Biology,0.05833739157043513
electrical engineering computer science,English,0.09354850452646413
electrical engineering computer science,Music,0.8074105960198661
electrical engineering computer science,Anthropology,0.46629374109459654
electrical engineering computer science,Biology,0.1043147450518204
electrical engineering computer science,Integrative Biology,0.11937129697916861
electrical engineering computer science,Electrical Engineering,10.37728571248188
electrical engineering computer science,Public Health,0.06655291319262514
electrical engineering computer science,Nutritional Science & Tox,0.2182625489229021
electrical engineering computer science,Philosophy,0.3181033881494089
electrical engineering computer science,Mechanical Engineering,0.6792274014377432
electrical engineering computer science,Education,0.2700678068584262
political science,Computer Science,0.12305684764467739
political science,Mathematics,0.0886772327552765
political science,Business Admin-Undergrad,0.4722811084192251
political science,Economics,0.4552240177975419
political science,Chemistry,0.06421042194197082
political science,Psychology,0.28251918113420493
political science,Sociology,0.727740740579102
political science,Physical Education,0.7584299509447815
political science,History,2.043317044100312
political science,Physics,0.03271513403570623
political science,Political Science,17.49533101187361
political science,"Env Sci, Policy, & Mgmt",0.3000250827896434
political science,Statistics,0.30069062046908335
political science,Molecular & Cell Biology,0.09372518704680939
political science,English,0.5406465375626074
political science,Music,0.25578403885856604
political science,Anthropology,0.36225354684813343
political science,Biology,0.03666089572854821
political science,Integrative Biology,0.09322765698412411
political science,Electrical Engineering,0.11192977572964946
political science,Public Health,0.37423501880182136
political science,Nutritional Science & Tox,0.2863738521579994
political science,Philosophy,0.7531509606212021
political science,Mechanical Engineering,0.0
political science,Education,3.3084301871736606
business administration,Computer Science,0.2511706415318255
business administration,Mathematics,0.04662085213537095
business administration,Business Admin-Undergrad,16.379971362650515
business administration,Economics,0.5435581719697707
business administration,Chemistry,0.008439439566093918
business administration,Psychology,0.2715988605380717
business administration,Sociology,0.3279427044921907
business administration,Physical Education,1.1405654354765162
business administration,History,0.26590252884120646
business administration,Physics,0.04586543442483921
business administration,Political Science,0.3119901876541841
business administration,"Env Sci, Policy, & Mgmt",0.30378422565870455
business administration,Statistics,0.4742520437258891
business administration,Molecular & Cell Biology,0.19709898249657715
business administration,English,0.10754935564318971
business administration,Music,0.5715187010883627
business administration,Anthropology,0.27207126851871993
business administration,Biology,0.019273968591551466
business administration,Integrative Biology,0.09802635188625267
business administration,Electrical Engineering,0.07846074821689743
business administration,Public Health,0.3344732733157922
business administration,Nutritional Science & Tox,0.32262250254743385
business administration,Philosophy,0.07424229382170049
business administration,Mechanical Engineering,0.10039928752414642
business administration,Education,0.3706837665298678
mechanical engineering,Computer Science,0.5825042314068197
mechanical engineering,Mathematics,0.8377034048054942
mechanical engineering,Business Admin-Undergrad,0.10014540193409074
mechanical engineering,Economics,0.07558673244724114
mechanical engineering,Chemistry,0.0786299414793934
mechanical engineering,Psychology,0.1807483130902355
mechanical engineering,Sociology,0.21824499009230605
mechanical engineering,Physical Education,0.5307131579970603
mechanical engineering,History,0.5662637428066963
mechanical engineering,Physics,1.5872128256387814
mechanical engineering,Political Science,0.07689949367823357
mechanical engineering,"Env Sci, Policy, & Mgmt",0.07775676432182943
mechanical engineering,Statistics,0.19422366945185462
mechanical engineering,Molecular & Cell Biology,0.0983766330816335
mechanical engineering,English,0.08179863733253626
mechanical engineering,Music,0.38034416240403834
mechanical engineering,Anthropology,0.4586921716462942
mechanical engineering,Biology,0.02565354878570098
mechanical engineering,Integrative Biology,0.13047254842474817
mechanical engineering,Electrical Engineering,4.307771940251397
mechanical engineering,Public Health,0.10474873700016313
mechanical engineering,Nutritional Science & Tox,0.11450901865076069
mechanical engineering,Philosophy,0.03293869824941313
mechanical engineering,Mechanical Engineering,38.118217941063726
mechanical engineering,Education,0.37952161880022334
psychology,Computer Science,0.1434806129581124
psychology,Mathematics,0.054083542495169536
psychology,Business Admin-Undergrad,0.33822938738648195
psychology,Economics,0.23528603895126576
psychology,Chemistry,0.25699687257810727
psychology,Psychology,14.572182569112144
psychology,Sociology,1.0567698061424011
psychology,Physical Education,0.9412566790183348
psychology,History,0.4164291852310801
psychology,Physics,0.26603601802177423
psychology,Political Science,0.30160921918007905
psychology,"Env Sci, Policy, & Mgmt",0.13554290644013867
psychology,Statistics,0.2116024959900377
psychology,Molecular & Cell Biology,0.7681177326245738
psychology,English,0.6683838745168682
psychology,Music,0.6337526857577657
psychology,Anthropology,0.7627537586394869
psychology,Biology,0.41923481592459627
psychology,Integrative Biology,1.2793232299903252
psychology,Electrical Engineering,0.0
psychology,Public Health,0.6276681850866339
psychology,Nutritional Science & Tox,0.4054540893075889
psychology,Philosophy,0.32297400752021227
psychology,Mechanical Engineering,0.03639699890572979
psychology,Education,2.2327953078713505
sociology,Computer Science,0.08383272467918294
sociology,Mathematics,0.06161977382646365
sociology,Business Admin-Undergrad,0.3646414477799618
sociology,Economics,0.21445743878180945
sociology,Chemistry,0.16112181412044058
sociology,Psychology,0.4736515306087871
sociology,Sociology,17.69916184336695
sociology,Physical Education,1.1030558364889338
sociology,History,0.5154585907454535
sociology,Physics,0.05051776844948991
sociology,Political Science,0.22060629793904185
sociology,"Env Sci, Policy, & Mgmt",0.3603367430771992
sociology,Statistics,0.2500172782007367
sociology,Molecular & Cell Biology,0.10854580234826866
sociology,English,0.40614364396872
sociology,Music,0.5430897332344815
sociology,Anthropology,0.39955821537926767
sociology,Biology,0.14152675024534037
sociology,Integrative Biology,0.11516757188822034
sociology,Electrical Engineering,0.08641936919381633
sociology,Public Health,0.606777092984893
sociology,Nutritional Science & Tox,0.4422102607776758
sociology,Philosophy,0.32709207318986894
sociology,Mechanical Engineering,0.07372215443200641
sociology,Education,2.6381418756027
media studies,Computer Science,0.09201957558037402
media studies,Mathematics,0.03522779946967462
media studies,Business Admin-Undergrad,1.3531220598626956
media studies,Economics,0.22068816099571395
media studies,Chemistry,0.025508146767247317
media studies,Psychology,0.8593855990915512
media studies,Sociology,3.001147016469263
media studies,Physical Education,1.093062515883442
media studies,History,0.6108032785283947
media studies,Physics,0.0
media studies,Political Science,1.0652273537135855
